City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,vadso,70.0744,29.7487,-5.91,79,40,6.17,NO,1699026824
261,sarigerme,36.7155,28.7044,22.73,78,20,3.09,TR,1699026876
262,dadukou,26.5479,101.7054,15.74,70,0,0.45,CN,1699026877
263,alice springs,-23.7,133.8833,19.75,24,40,1.03,AU,1699026878
264,tura,25.5198,90.2201,19.93,77,3,1.33,IN,1699026878
265,punta del este,-34.9667,-54.95,13.31,90,100,11.32,UY,1699026718
266,mana,5.6592,-53.7767,31.19,64,16,5.7,GF,1699026880
267,vanimo,-2.6741,141.3028,25.67,87,100,0.5,PG,1699026881
268,sivas,39.7916,37.0019,12.35,66,40,3.6,TR,1699026882
269,yingshang chengguanzhen,32.6295,116.2701,18.87,76,100,4.37,CN,1699026882
270,conception bay south,47.4999,-52.9981,7.8,69,9,5.45,CA,1699026883
271,bogo,11.0517,124.0055,27.1,83,78,1.17,PH,1699026883
272,acapulco de juarez,16.8634,-99.8901,28.43,68,36,0.36,MX,1699026745
273,queenstown,-31.8976,26.8753,19.25,68,100,14.85,ZA,1699026884
274,happy valley-goose bay,53.3168,-60.3315,0.17,64,75,1.54,CA,1699026773
275,touros,-5.1989,-35.4608,30.28,59,73,6.28,BR,1699026885
276,vinales,22.6164,-83.7078,27.04,70,80,7.99,CU,1699026885
277,mogadishu,2.0371,45.3438,28.93,79,20,3.09,SO,1699026886
278,berezivka,47.2043,30.9078,10.75,77,97,4.3,UA,1699026886
279,lanzhou,36.0564,103.7922,10.28,45,90,1.44,CN,1699026886
280,martuk,50.7475,56.5056,8.4,59,98,2.94,KZ,1699026887
281,senta,45.9275,20.0772,14.19,60,82,5.05,RS,1699026887
282,wamba,8.9333,8.6,31.43,48,26,2.76,NG,1699026888
283,timimoun,29.2639,0.231,35.21,9,0,5.66,DZ,1699026888
284,fortuna,40.5982,-124.1573,14.19,98,100,3.6,US,1699026888
285,coahuayana de hidalgo,18.7,-103.6583,29.88,62,66,0.26,MX,1699026889
286,lihue,21.9789,-159.3672,22.58,88,0,3.6,US,1699026768
287,awjilah,29.1081,21.2869,28.07,21,0,2.68,LY,1699026890
288,weno,7.4515,151.8468,25.97,94,100,1.54,FM,1699026779
289,lorengau,-2.0226,147.2712,26.63,81,100,1.78,PG,1699026774
290,chowchilla,37.123,-120.2602,14.82,66,0,2.06,US,1699026891
291,meadow lake,34.8014,-106.5436,18.0,15,2,1.88,US,1699026815
292,sita road,27.0333,67.85,28.49,16,88,1.02,PK,1699026891
293,hengchun,22.0042,120.7439,25.03,78,6,5.97,TW,1699026892
294,lethem,3.3803,-59.7968,36.88,37,63,4.25,GY,1699026892
295,revda,56.801,59.9303,3.94,95,100,5.91,RU,1699026893
296,lahad datu,5.0268,118.327,24.96,91,63,1.26,MY,1699026893
297,north platte,41.1239,-100.7654,11.32,56,100,4.63,US,1699026601
298,alice,27.7523,-98.0697,23.08,61,89,3.03,US,1699026894
299,peabiru,-23.9128,-52.3431,26.83,73,85,6.6,BR,1699026894
300,yeniseysk,58.4497,92.1703,-9.47,74,14,1.34,RU,1699026895
301,walvis bay,-22.9575,14.5053,21.53,60,0,8.75,NA,1699026895
302,ust'-ilimsk,58.0006,102.6619,-14.87,75,38,1.34,RU,1699026896
303,zhanaozen,43.3,52.8,16.37,28,11,2.94,KZ,1699026896
304,nikolayevsk-on-amure,53.1406,140.73,-5.97,84,82,7.14,RU,1699026897
305,aral,40.5156,81.2636,12.83,22,0,2.86,CN,1699026897
306,san bernardo del viento,9.3533,-75.9524,24.64,91,100,3.21,CO,1699026898
307,cabo san lucas,22.8909,-109.9124,27.51,71,31,0.45,MX,1699026416
308,bumba,2.1833,22.4667,23.57,92,55,0.51,CD,1699026898
309,cao bang,22.6667,106.25,21.61,97,11,0.68,VN,1699026899
310,yerofey pavlovich,53.9667,121.9667,-15.23,59,0,1.04,RU,1699026899
311,quang ngai,15.1167,108.8,24.31,92,53,1.74,VN,1699026655
312,kaka,37.3482,59.6143,18.37,24,99,0.7,TM,1699026900
313,sebezh,56.2955,28.4654,7.63,79,79,6.59,RU,1699026901
314,warman,52.3168,-106.5679,-1.05,80,100,2.57,CA,1699026901
315,tralee,52.2704,-9.7026,10.14,87,75,3.09,IE,1699026902
316,linhares,-19.3911,-40.0722,33.26,44,88,2.81,BR,1699026637
317,constantia,44.1833,28.65,17.61,92,81,8.7,RO,1699026669
318,kuraymah,18.55,31.85,32.68,26,10,3.79,SD,1699026904
319,la ronge,55.1001,-105.2842,-8.86,86,100,1.54,CA,1699026840
320,howard springs,-12.497,131.047,28.95,83,11,1.51,AU,1699026906
321,afaahiti,-17.75,-149.2833,22.93,83,94,6.24,PF,1699026906
322,mahina,-17.5065,-149.489,23.87,83,75,1.54,PF,1699026907
323,khandyga,62.6667,135.6,-23.85,100,100,0.85,RU,1699026798
324,coquimbo,-29.9533,-71.3436,18.85,52,0,7.2,CL,1699026909
325,vorgashor,67.5833,63.95,-9.09,95,100,4.0,RU,1699026909
326,minas de marcona,-15.2119,-75.1103,19.74,53,5,6.41,PE,1699026910
327,gautampura,22.9833,75.5167,24.42,35,0,2.31,IN,1699026911
328,temryuk,45.2722,37.3811,16.12,93,59,4.08,RU,1699026911
329,saint-philippe,-21.3585,55.7679,24.77,82,92,1.75,RE,1699026912
330,kerikeri,-35.2268,173.9474,10.51,92,15,1.44,NZ,1699026862
331,rosarito,32.3333,-117.0333,19.48,32,0,1.54,MX,1699026913
332,houghton,47.1219,-88.569,6.52,79,40,7.2,US,1699026900
333,pandan,14.0453,124.1694,27.02,86,46,2.33,PH,1699026914
334,homestead meadows north,31.8496,-106.1729,18.61,35,0,1.54,US,1699026916
335,bathsheba,13.2167,-59.5167,29.34,79,75,10.8,BB,1699026917
336,twon-brass,4.3151,6.2418,27.89,74,98,5.58,NG,1699026918
337,kenai,60.5544,-151.2583,3.97,91,100,1.54,US,1699026918
338,nyurba,63.2842,118.3319,-16.68,97,100,1.66,RU,1699026919
339,okha,53.5739,142.9478,-2.81,90,100,7.54,RU,1699026920
340,san andres,12.5847,-81.7006,31.01,74,40,3.09,CO,1699026920
341,pont rouge,48.8833,-72.0825,5.16,85,100,7.81,CA,1699026921
342,santa barbara,34.7333,-120.0343,23.52,12,89,1.64,US,1699026790
343,howrah,22.5892,88.3103,28.0,74,75,0.0,IN,1699026922
344,puerto san jose,13.9256,-90.8244,26.68,75,88,1.09,GT,1699026923
345,kone,-21.0595,164.8658,19.93,87,72,1.45,NC,1699026924
346,sept-iles,50.2001,-66.3821,6.24,75,75,5.81,CA,1699026925
347,pathein,16.7833,94.7333,25.17,86,21,2.5,MM,1699026925
348,nadym,65.5333,72.5167,-5.3,95,100,10.73,RU,1699026926
349,ban karon,7.8477,98.2985,30.99,70,100,1.81,TH,1699026926
350,macusani,-14.0833,-70.4333,11.78,52,49,5.46,PE,1699026927
351,labuan,5.2767,115.2417,25.2,94,40,0.0,MY,1699026928
352,carahue,-38.7,-73.1667,17.67,41,11,2.01,CL,1699026928
353,cold lake,54.4502,-110.2017,-2.03,86,100,1.54,CA,1699026929
354,laojunmiao,39.8333,97.7333,4.17,42,0,1.1,CN,1699026929
355,gantang,26.92,119.6333,20.87,91,99,1.35,CN,1699026930
356,alofi,-19.0595,-169.9187,23.94,88,75,5.66,NU,1699026930
357,karkira,36.9292,6.5856,18.04,60,80,12.21,DZ,1699026931
358,metro,-5.1131,105.3067,25.02,88,16,2.13,ID,1699026932
359,as sulayyil,20.4607,45.5779,29.14,24,95,4.22,SA,1699026932
360,puerto baquerizo moreno,-0.9,-89.6,27.55,69,40,6.17,EC,1699026750
361,vanino,49.0869,140.2543,-5.04,39,23,6.81,RU,1699026934
362,serenje,-13.2325,30.2352,21.24,56,98,2.05,ZM,1699026934
